"","","South","South"
"Year","Time","pv","gas"
"2016",1581.00,0.00,6953.89
"2016",1582.00,0.00,6709.65
"2016",1583.00,0.00,6382.46
"2016",1584.00,0.00,6035.00
"2016",1585.00,0.00,5298.60
"2016",1586.00,0.00,4804.59
"2016",1587.00,0.00,4466.34
"2016",1588.00,0.00,4292.15
"2016",1589.00,0.00,4215.65
"2016",1590.00,0.00,4205.51
"2016",1591.00,10.89,4299.70
"2016",1592.00,527.30,3978.67
"2016",1593.00,2053.67,3131.56
"2016",1594.00,3361.03,2751.39
"2016",1595.00,3951.62,2364.48
"2016",1596.00,4184.73,2203.27
"2016",1597.00,4176.34,2253.13
"2016",1598.00,4255.31,1668.16
"2016",1599.00,4151.71,1922.00
"2016",1600.00,3856.61,2374.71
"2016",1601.00,3070.25,3044.93
"2016",1602.00,1296.66,4746.63
"2016",1603.00,148.96,5703.55
"2016",1604.00,0.65,6533.89
"2016",1605.00,0.00,6847.90
"2016",1606.00,0.00,6576.93
"2016",1607.00,0.00,6349.28
"2016",1608.00,0.00,5925.32
"2016",1609.00,0.00,5210.12
"2016",1610.00,0.00,4678.32
"2016",1611.00,0.00,4425.79
"2016",1612.00,0.00,4267.26
"2016",1613.00,0.00,4181.55
"2016",1614.00,0.00,4147.45
"2016",1615.00,13.72,4248.94
"2016",1616.00,582.98,3899.95
"2016",1617.00,2145.43,3039.81
"2016",1618.00,3435.41,2571.01
"2016",1619.00,3993.79,2247.66
"2016",1620.00,4210.00,2083.07
"2016",1621.00,4210.77,2121.00
"2016",1622.00,4258.30,1584.07
"2016",1623.00,4133.92,1843.01
"2016",1624.00,3813.25,2218.06
"2016",1625.00,2981.56,2986.16
"2016",1626.00,1216.30,4645.43
"2016",1627.00,134.29,5507.16
"2016",1628.00,0.74,6259.14
"2016",1629.00,0.00,6570.48
"2016",1630.00,0.00,6385.23
"2016",1631.00,0.00,6095.83
"2016",1632.00,0.00,5761.27
"2016",1633.00,0.00,5117.95
"2016",1634.00,0.00,4657.12
"2016",1635.00,0.00,4321.64
"2016",1636.00,0.00,4155.74
"2016",1637.00,0.00,4033.16
"2016",1638.00,0.00,3978.79
"2016",1639.00,17.99,3955.27
"2016",1640.00,614.34,3270.43
"2016",1641.00,2149.78,1914.72
"2016",1642.00,3411.85,1174.30
"2016",1643.00,3994.27,883.13
"2016",1644.00,4225.35,777.40
"2016",1645.00,4236.50,859.33
"2016",1646.00,4253.38,748.44
"2016",1647.00,4110.14,773.71
"2016",1648.00,3775.29,1032.06
"2016",1649.00,2943.51,1713.62
"2016",1650.00,1149.05,3480.42
"2016",1651.00,111.49,4541.95
"2016",1652.00,0.44,5511.06
"2016",1653.00,0.00,5901.36
"2016",1654.00,0.00,5688.46
"2016",1655.00,0.00,5459.89
"2016",1656.00,0.00,5176.94
"2016",1657.00,0.00,4784.31
"2016",1658.00,0.00,4342.84
"2016",1659.00,0.00,3993.53
"2016",1660.00,0.00,3765.88
"2016",1661.00,0.00,3690.31
"2016",1662.00,0.00,3655.28
"2016",1663.00,20.97,3656.44
"2016",1664.00,635.83,2806.55
"2016",1665.00,2203.69,1309.66
"2016",1666.00,3465.48,390.73
"2016",1667.00,4016.53,217.56
"2016",1668.00,4238.05,252.25
"2016",1669.00,4248.87,413.78
"2016",1670.00,4272.77,282.98
"2016",1671.00,4145.68,197.16
"2016",1672.00,3831.75,402.34
"2016",1673.00,3032.75,1013.32
"2016",1674.00,1248.12,2762.00
"2016",1675.00,131.00,3997.10
"2016",1676.00,0.65,5012.23
"2016",1677.00,0.00,5462.65
"2016",1678.00,0.00,5441.45
"2016",1679.00,0.00,5257.12
"2016",1680.00,0.00,4947.45
"2016",1681.00,0.00,4519.80
"2016",1682.00,0.00,4150.21
"2016",1683.00,0.00,3890.31
"2016",1684.00,0.00,3752.06
"2016",1685.00,0.00,3721.64
"2016",1686.00,0.00,3741.92
"2016",1687.00,23.64,3869.43
"2016",1688.00,672.21,3415.33
"2016",1689.00,2197.90,2601.16
"2016",1690.00,3427.80,2307.66
"2016",1691.00,3992.81,2091.04
"2016",1692.00,4220.36,2017.40
"2016",1693.00,4246.23,2045.91
"2016",1694.00,4272.26,1579.33
"2016",1695.00,4152.37,1902.91
"2016",1696.00,3851.57,2299.55
"2016",1697.00,3072.21,2977.53
"2016",1698.00,1304.24,4698.50
"2016",1699.00,145.45,5603.84
"2016",1700.00,0.81,6346.63
"2016",1701.00,0.00,6572.32
"2016",1702.00,0.00,6375.09
"2016",1703.00,0.00,6049.75
"2016",1704.00,0.00,5704.12
"2016",1705.00,0.00,5046.98
"2016",1706.00,0.00,4554.82
"2016",1707.00,0.00,4297.68
"2016",1708.00,0.00,4147.45
"2016",1709.00,0.00,4072.79
"2016",1710.00,0.00,4006.44
"2016",1711.00,25.11,4136.16
"2016",1712.00,651.15,3724.87
"2016",1713.00,2223.45,2888.05
"2016",1714.00,3467.17,2512.53
"2016",1715.00,4018.95,2097.15
"2016",1716.00,4242.36,1967.76
"2016",1717.00,4249.05,2034.80
"2016",1718.00,4203.13,1658.60
"2016",1719.00,4022.94,2017.59
"2016",1720.00,3640.73,2520.53
"2016",1721.00,2793.65,3290.20
"2016",1722.00,1126.06,4897.88
"2016",1723.00,132.39,5634.41
"2016",1724.00,0.84,6300.52
"2016",1725.00,0.00,6623.01
"2016",1726.00,0.00,6366.79
"2016",1727.00,0.00,6104.12
"2016",1728.00,0.00,5752.97
"2016",1729.00,0.00,5071.87
"2016",1730.00,0.00,4541.92
"2016",1731.00,0.00,4293.07
"2016",1732.00,0.00,4172.33
"2016",1733.00,0.00,4097.68
"2016",1734.00,0.00,4046.07
"2016",1735.00,21.04,4180.78
"2016",1736.00,466.29,3878.39
"2016",1737.00,1793.36,3319.98
"2016",1738.00,3056.42,2794.25
"2016",1739.00,3665.02,2437.26
"2016",1740.00,3867.18,2368.74
"2016",1741.00,3859.83,2434.15
"2016",1742.00,3777.73,2013.95
"2016",1743.00,3547.23,2392.83
"2016",1744.00,3211.41,2894.56
"2016",1745.00,2419.09,3626.05
"2016",1746.00,988.38,4994.08
"2016",1747.00,132.11,5663.26
"2016",1748.00,0.98,6235.86
"2016",1749.00,0.00,6596.29
"2016",1750.00,0.00,6361.26
"2016",1751.00,0.00,6080.16
"2016",1752.00,0.00,5717.95
"2016",1753.00,0.00,5031.32
"2016",1754.00,0.00,4548.37
"2016",1755.00,0.00,4254.36
"2016",1756.00,0.00,4146.53
"2016",1757.00,0.00,4105.05
"2016",1758.00,0.00,4117.96
"2016",1759.00,28.53,4157.63
"2016",1760.00,659.52,3685.16
"2016",1761.00,2232.93,2792.86
"2016",1762.00,3422.45,2426.37
"2016",1763.00,3976.53,2135.89
"2016",1764.00,4125.88,2069.48
"2016",1765.00,4069.39,2158.23
"2016",1766.00,4004.49,1810.24
"2016",1767.00,3780.61,2248.86
"2016",1768.00,3379.95,2752.74
"2016",1769.00,2581.89,3475.23
"2016",1770.00,1048.12,4975.82
"2016",1771.00,137.00,5584.64
"2016",1772.00,1.12,6194.24
"2016",1773.00,0.00,6552.97
"2016",1774.00,0.00,6350.20
"2016",1775.00,0.00,6039.61
"2016",1776.00,0.00,5740.99
"2016",1777.00,0.00,5049.75
"2016",1778.00,0.00,4529.01
"2016",1779.00,0.00,4263.58
"2016",1780.00,0.00,4142.84
"2016",1781.00,0.00,4093.07
"2016",1782.00,0.00,4070.03
"2016",1783.00,33.01,4122.74
"2016",1784.00,673.32,3648.33
"2016",1785.00,2234.41,2854.04
"2016",1786.00,3426.85,2492.94
"2016",1787.00,3945.06,2148.93
"2016",1788.00,4144.16,2049.37
"2016",1789.00,4141.88,2144.73
"2016",1790.00,4076.26,1767.96
"2016",1791.00,3836.95,2161.18
"2016",1792.00,3509.15,2559.03
"2016",1793.00,2726.61,3231.90
"2016",1794.00,1161.11,4693.25
"2016",1795.00,149.42,5473.60
"2016",1796.00,1.11,6066.15
"2016",1797.00,0.00,6458.04
"2016",1798.00,0.00,6156.66
"2016",1799.00,0.00,5859.88
"2016",1800.00,0.00,5556.66
"2016",1801.00,0.00,4950.21
"2016",1802.00,0.00,4548.37
"2016",1803.00,0.00,4248.83
"2016",1804.00,0.00,4031.32
"2016",1805.00,0.00,3938.23
"2016",1806.00,0.00,3936.39
"2016",1807.00,42.61,3878.11
"2016",1808.00,786.99,3001.94
"2016",1809.00,2392.63,1640.53
"2016",1810.00,3535.75,1035.66
"2016",1811.00,4044.46,859.67
"2016",1812.00,4251.60,757.60
"2016",1813.00,4219.17,876.66
"2016",1814.00,4169.33,812.21
"2016",1815.00,3983.59,797.96
"2016",1816.00,3661.60,1162.34
"2016",1817.00,2926.01,1764.30
"2016",1818.00,1301.51,3314.14
"2016",1819.00,166.13,4516.80
"2016",1820.00,1.27,5279.82
"2016",1821.00,0.00,5816.57
"2016",1822.00,0.00,5592.60
"2016",1823.00,0.00,5246.06
"2016",1824.00,0.00,5007.35
"2016",1825.00,0.00,4557.59
"2016",1826.00,0.00,4143.76
"2016",1827.00,0.00,3827.63
"2016",1828.00,0.00,3664.50
"2016",1829.00,0.00,3550.22
"2016",1830.00,0.00,3560.35
"2016",1831.00,41.06,3526.67
"2016",1832.00,681.86,2694.16
"2016",1833.00,2245.89,1249.03
"2016",1834.00,3413.42,424.35
"2016",1835.00,3947.27,282.20
"2016",1836.00,4155.91,282.78
"2016",1837.00,4174.27,368.57
"2016",1838.00,4146.36,390.95
"2016",1839.00,3914.52,347.22
"2016",1840.00,3556.21,531.34
"2016",1841.00,2806.70,1170.24
"2016",1842.00,1221.36,2760.19
"2016",1843.00,154.81,3967.75
"2016",1844.00,1.14,4785.02
"2016",1845.00,0.00,5365.88
"2016",1846.00,0.00,5384.31
"2016",1847.00,0.00,5199.98
"2016",1848.00,0.00,4891.22
"2016",1849.00,0.00,4314.27
"2016",1850.00,0.00,4049.75
"2016",1851.00,0.00,3788.92
"2016",1852.00,0.00,3689.39
"2016",1853.00,0.00,3584.32
"2016",1854.00,0.00,3630.40
"2016",1855.00,56.80,3750.55
"2016",1856.00,826.53,3212.16
"2016",1857.00,2404.29,2398.45
"2016",1858.00,3537.63,2159.12
"2016",1859.00,4056.80,2021.52
"2016",1860.00,4278.13,1958.71
"2016",1861.00,4327.12,2023.09
"2016",1862.00,4307.15,1628.31
"2016",1863.00,4161.67,1986.69
"2016",1864.00,3844.39,2414.57
"2016",1865.00,3092.01,3079.40
"2016",1866.00,1359.02,4805.01
"2016",1867.00,172.87,5732.18
"2016",1868.00,1.42,6232.65
"2016",1869.00,0.00,6673.71
"2016",1870.00,0.00,6354.81
"2016",1871.00,0.00,6127.16
"2016",1872.00,0.00,5715.18
"2016",1873.00,0.00,4978.78
"2016",1874.00,0.00,4512.42
"2016",1875.00,0.00,4331.78
"2016",1876.00,0.00,4198.14
"2016",1877.00,0.00,4121.64
"2016",1878.00,0.00,4059.89
"2016",1879.00,47.04,4148.33
"2016",1880.00,693.87,3652.66
"2016",1881.00,2120.60,2993.67
"2016",1882.00,3161.06,2884.08
"2016",1883.00,3716.10,2584.34
"2016",1884.00,3968.66,2446.98
"2016",1885.00,4019.82,2476.01
"2016",1886.00,4072.75,1988.06
"2016",1887.00,4001.72,2237.89
"2016",1888.00,3762.89,2641.70
"2016",1889.00,3047.65,3260.15
"2016",1890.00,1329.54,4913.75
"2016",1891.00,171.54,5770.37
"2016",1892.00,1.20,6321.35
"2016",1893.00,0.00,6866.33
"2016",1894.00,0.00,6678.31
"2016",1895.00,0.00,6398.13
"2016",1896.00,0.00,5977.86
"2016",1897.00,0.00,5228.55
"2016",1898.00,0.00,4711.50
"2016",1899.00,0.00,4447.91
"2016",1900.00,0.00,4277.40
"2016",1901.00,0.00,4246.99
"2016",1902.00,0.00,4248.83
"2016",1903.00,59.84,4303.27
"2016",1904.00,750.30,3675.49
"2016",1905.00,2196.82,3070.44
"2016",1906.00,3266.50,2915.04
"2016",1907.00,3791.23,2588.47
"2016",1908.00,4055.41,2497.56
"2016",1909.00,4165.93,2440.50
"2016",1910.00,4160.27,1957.68
"2016",1911.00,4017.42,2339.24
"2016",1912.00,3704.45,2742.53
"2016",1913.00,3002.07,3404.36
"2016",1914.00,1378.63,4958.67
"2016",1915.00,185.79,5865.79
"2016",1916.00,1.25,6374.76
"2016",1917.00,0.00,7022.09
"2016",1918.00,0.00,6815.64
"2016",1919.00,0.00,6468.18
"2016",1920.00,0.00,6097.67
"2016",1921.00,0.00,5341.91
"2016",1922.00,0.00,4823.02
"2016",1923.00,0.00,4503.21
"2016",1924.00,0.00,4340.07
"2016",1925.00,0.00,4261.73
"2016",1926.00,0.00,4293.07
"2016",1927.00,67.01,4327.44
"2016",1928.00,866.23,3622.23
"2016",1929.00,2456.79,2870.38
"2016",1930.00,3454.18,2775.29
"2016",1931.00,3934.65,2493.90
"2016",1932.00,4146.88,2394.11
"2016",1933.00,4207.64,2327.82
"2016",1934.00,4236.69,1806.60
"2016",1935.00,4133.32,2155.14
"2016",1936.00,3877.95,2569.03
"2016",1937.00,3188.13,3157.47
"2016",1938.00,1511.56,4713.30
"2016",1939.00,209.26,5812.84
"2016",1940.00,1.55,6412.25
"2016",1941.00,0.00,6964.03
"2016",1942.00,0.00,6799.97
"2016",1943.00,0.00,6474.63
"2016",1944.00,0.00,6073.71
"2016",1945.00,0.00,5295.83
"2016",1946.00,0.00,4799.98
"2016",1947.00,0.00,4505.05
"2016",1948.00,0.00,4368.65
"2016",1949.00,0.00,4261.73
"2016",1950.00,0.00,4293.07
"2016",1951.00,83.86,4266.35
"2016",1952.00,945.58,3457.16
"2016",1953.00,2538.71,2728.55
"2016",1954.00,3564.12,2618.35
"2016",1955.00,4029.90,2313.85
"2016",1956.00,4233.86,2179.02
"2016",1957.00,4266.90,2204.05
"2016",1958.00,4256.72,1758.92
"2016",1959.00,4131.93,2046.85
"2016",1960.00,3864.77,2419.08
"2016",1961.00,3152.42,2998.71
"2016",1962.00,1495.51,4588.33
"2016",1963.00,209.61,5549.82
"2016",1964.00,1.53,6059.27
"2016",1965.00,0.00,6686.61
"2016",1966.00,0.00,6505.96
"2016",1967.00,0.00,6254.35
"2016",1968.00,0.00,5855.28
"2016",1969.00,0.00,5288.46
"2016",1970.00,0.00,4812.88
"2016",1971.00,0.00,4427.63
"2016",1972.00,0.00,4271.87
"2016",1973.00,0.00,4176.02
"2016",1974.00,0.00,4142.84
"2016",1975.00,94.73,4016.77
"2016",1976.00,971.99,2910.02
"2016",1977.00,2545.23,1651.07
"2016",1978.00,3532.09,1236.55
"2016",1979.00,3971.51,1121.55
"2016",1980.00,4166.12,1045.84
"2016",1981.00,4194.55,1035.84
"2016",1982.00,4177.72,872.95
"2016",1983.00,4009.50,936.10
"2016",1984.00,3669.99,1255.34
"2016",1985.00,2906.64,1818.69
"2016",1986.00,1300.51,3368.60
"2016",1987.00,197.85,4503.51
"2016",1988.00,1.47,5265.79
"2016",1989.00,0.00,6049.75
"2016",1990.00,0.00,5960.34
"2016",1991.00,0.00,5581.54
"2016",1992.00,0.00,5335.46
"2016",1993.00,0.00,4857.12
"2016",1994.00,0.00,4408.28
"2016",1995.00,0.00,3999.98
"2016",1996.00,0.00,3876.48
"2016",1997.00,0.00,3778.79
"2016",1998.00,0.00,3712.43
"2016",1999.00,88.70,3691.93
"2016",2000.00,876.88,2650.30
"2016",2001.00,2279.30,1579.67
"2016",2002.00,3154.92,1046.91
"2016",2003.00,3541.16,959.28
"2016",2004.00,3715.39,959.25
"2016",2005.00,3731.67,966.93
"2016",2006.00,3767.62,753.10
"2016",2007.00,3639.12,778.38
"2016",2008.00,3373.17,874.74
"2016",2009.00,2667.13,1542.99
"2016",2010.00,1190.90,3057.93
"2016",2011.00,183.06,4266.70
"2016",2012.00,1.57,5010.40
"2016",2013.00,0.00,5672.79
"2016",2014.00,0.00,5470.95
"2016",2015.00,0.00,5212.88
"2016",2016.00,0.00,4761.27
"2016",2017.00,0.00,4360.35
"2016",2018.00,0.00,4080.17
"2016",2019.00,0.00,3915.19
"2016",2020.00,0.00,3870.03
"2016",2021.00,0.00,3870.95
"2016",2022.00,0.00,3949.29
"2016",2023.00,97.34,4231.67
"2016",2024.00,914.87,3922.90
"2016",2025.00,2342.80,3542.89
"2016",2026.00,3198.00,3080.31
"2016",2027.00,3601.18,2883.59
"2016",2028.00,3752.74,2839.86
"2016",2029.00,3784.77,2370.04
"2016",2030.00,3734.07,2574.66
"2016",2031.00,3555.60,2736.54
"2016",2032.00,3245.24,2970.41
"2016",2033.00,2501.35,3613.83
"2016",2034.00,1168.32,4757.00
"2016",2035.00,189.20,5720.46
"2016",2036.00,1.85,6242.36
"2016",2037.00,0.00,6641.45
"2016",2038.00,0.00,6430.39
"2016",2039.00,0.00,5992.60
"2016",2040.00,0.00,5347.44
"2016",2041.00,0.00,4778.78
"2016",2042.00,0.00,4366.80
"2016",2043.00,0.00,4290.31
"2016",2044.00,0.00,4199.06
"2016",2045.00,0.00,4210.12
"2016",2046.00,0.00,4317.03
"2016",2047.00,87.28,4587.36
"2016",2048.00,843.86,4260.27
"2016",2049.00,2282.34,3821.78
"2016",2050.00,3133.89,3289.13
"2016",2051.00,3496.16,3029.16
"2016",2052.00,3639.28,2945.03
"2016",2053.00,3678.39,2444.16
"2016",2054.00,3632.46,2598.85
"2016",2055.00,3512.41,2790.79
"2016",2056.00,3298.01,2891.83
"2016",2057.00,2659.04,3434.94
"2016",2058.00,1242.23,4702.44
"2016",2059.00,189.40,5707.35
"2016",2060.00,1.76,6247.99
"2016",2061.00,0.00,6689.37
"2016",2062.00,0.00,6457.12
"2016",2063.00,0.00,5940.99
"2016",2064.00,0.00,5284.77
"2016",2065.00,0.00,4794.45
"2016",2066.00,0.00,4461.73
"2016",2067.00,0.00,4272.79
"2016",2068.00,0.00,4192.61
"2016",2069.00,0.00,4190.77
"2016",2070.00,0.00,4258.05
"2016",2071.00,114.76,4505.49
"2016",2072.00,996.45,4073.57
"2016",2073.00,2449.94,3574.92
"2016",2074.00,3250.74,3071.81
"2016",2075.00,3612.20,2842.15
"2016",2076.00,3705.39,2804.27
"2016",2077.00,3737.03,2363.40
"2016",2078.00,3648.09,2673.54
"2016",2079.00,3487.30,2936.64
"2016",2080.00,3297.61,3037.85
"2016",2081.00,2702.89,3545.01
"2016",2082.00,1285.54,4778.03
"2016",2083.00,208.33,5882.89
"2016",2084.00,2.22,6333.24
"2016",2085.00,0.00,6717.95
"2016",2086.00,0.00,6428.55
"2016",2087.00,0.00,5972.33
"2016",2088.00,0.00,5291.22
"2016",2089.00,0.00,4776.02
"2016",2090.00,0.00,4471.87
"2016",2091.00,0.00,4265.42
"2016",2092.00,0.00,4233.16
"2016",2093.00,0.00,4216.57
"2016",2094.00,0.00,4267.26
"2016",2095.00,94.97,4547.41
"2016",2096.00,861.34,4242.79
"2016",2097.00,2268.77,3715.54
"2016",2098.00,3155.84,3138.15
"2016",2099.00,3612.43,2782.02
"2016",2100.00,3819.03,2621.50
"2016",2101.00,3931.18,2041.15
"2016",2102.00,3911.04,2202.30
"2016",2103.00,3862.59,2376.10
"2016",2104.00,3720.99,2419.08
"2016",2105.00,3065.15,2953.25
"2016",2106.00,1523.17,4254.69
"2016",2107.00,237.65,5507.95
"2016",2108.00,2.22,6073.34
"2016",2109.00,0.00,6585.23
"2016",2110.00,0.00,6361.26
"2016",2111.00,0.00,5950.21
"2016",2112.00,0.00,5246.06
"2016",2113.00,0.00,4799.98
"2016",2114.00,0.00,4483.85
"2016",2115.00,0.00,4324.41
"2016",2116.00,0.00,4252.52
"2016",2117.00,0.00,4257.13
"2016",2118.00,0.00,4295.84
"2016",2119.00,155.21,4501.92
"2016",2120.00,1176.68,3922.84
"2016",2121.00,2736.91,3213.30
"2016",2122.00,3654.94,2709.09
"2016",2123.00,4070.15,2446.87
"2016",2124.00,4277.06,2305.41
"2016",2125.00,4344.37,1793.86
"2016",2126.00,4305.41,1953.55
"2016",2127.00,4173.51,2151.81
"2016",2128.00,3869.00,2344.80
"2016",2129.00,3156.37,2980.93
"2016",2130.00,1449.55,4554.12
"2016",2131.00,202.63,5872.92
"2016",2132.00,1.58,6392.86
"2016",2133.00,0.00,6685.69
"2016",2134.00,0.00,6369.56
"2016",2135.00,0.00,5973.25
"2016",2136.00,0.00,5299.52
"2016",2137.00,0.00,4828.55
"2016",2138.00,0.00,4451.60
"2016",2139.00,0.00,4248.83
"2016",2140.00,0.00,4168.65
"2016",2141.00,0.00,4101.37
"2016",2142.00,0.00,4079.25
"2016",2143.00,136.16,4031.57
"2016",2144.00,1049.70,3139.22
"2016",2145.00,2585.61,2081.66
"2016",2146.00,3539.96,1553.11
"2016",2147.00,4010.47,1232.83
"2016",2148.00,4234.63,1062.12
"2016",2149.00,4310.90,925.02
"2016",2150.00,4271.90,767.71
"2016",2151.00,4130.09,887.40
"2016",2152.00,3819.58,1057.82
"2016",2153.00,3095.60,1665.67
"2016",2154.00,1455.53,3294.68
"2016",2155.00,224.91,4667.24
"2016",2156.00,2.48,5309.94
"2016",2157.00,0.00,5993.52
"2016",2158.00,0.00,5698.59
"2016",2159.00,0.00,5446.98
"2016",2160.00,0.00,5067.26
"2016",2161.00,0.00,4460.81
"2016",2162.00,0.00,4121.64
"2016",2163.00,0.00,3909.66
"2016",2164.00,0.00,3813.81
"2016",2165.00,0.00,3707.82
"2016",2166.00,0.02,3724.39
"2016",2167.00,117.28,3655.98
"2016",2168.00,918.68,2672.08
"2016",2169.00,2410.87,1566.07
"2016",2170.00,3285.41,1061.12
"2016",2171.00,3612.87,943.80
"2016",2172.00,3685.46,1058.30
"2016",2173.00,3677.27,1054.51
"2016",2174.00,3617.99,819.78
"2016",2175.00,3454.54,901.20
"2016",2176.00,3175.77,1029.74
"2016",2177.00,2520.21,1678.85
"2016",2178.00,1162.15,3071.01
"2016",2179.00,181.30,4240.80
"2016",2180.00,2.47,4901.66
"2016",2181.00,0.00,5582.47
"2016",2182.00,0.00,5431.31
"2016",2183.00,0.00,5317.03
"2016",2184.00,0.00,4827.63
"2016",2185.00,0.00,4366.80
"2016",2186.00,0.00,4068.19
"2016",2187.00,0.00,3871.87
"2016",2188.00,0.00,3843.30
"2016",2189.00,0.00,3836.85
"2016",2190.00,0.06,4001.76
"2016",2191.00,151.85,4242.60
"2016",2192.00,1081.76,3763.39
"2016",2193.00,2687.90,3183.96
"2016",2194.00,3585.35,2759.32
"2016",2195.00,3903.58,2602.38
"2016",2196.00,3972.00,2706.31
"2016",2197.00,3979.74,2356.64
"2016",2198.00,4031.55,2382.25
"2016",2199.00,3946.61,2567.65
"2016",2200.00,3665.10,2747.78
"2016",2201.00,2880.60,3437.35
"2016",2202.00,1287.42,4777.99
"2016",2203.00,195.48,5885.60
"2016",2204.00,2.71,6421.23
"2016",2205.00,0.00,6793.52
"2016",2206.00,0.00,6543.75
"2016",2207.00,0.00,6028.55
"2016",2208.00,0.00,5334.54
"2016",2209.00,0.00,4774.17
"2016",2210.00,0.00,4441.46
"2016",2211.00,0.00,4243.30
"2016",2212.00,0.00,4184.32
"2016",2213.00,0.00,4150.21
"2016",2214.00,0.16,4277.24
"2016",2215.00,178.02,4470.80
"2016",2216.00,1217.31,3857.32
"2016",2217.00,2848.84,3220.26
"2016",2218.00,3727.30,2733.50
"2016",2219.00,4046.91,2558.59
"2016",2220.00,4153.11,2561.15
"2016",2221.00,4158.48,2128.13
"2016",2222.00,4154.98,2263.43
"2016",2223.00,4083.33,2382.08
"2016",2224.00,3839.94,2495.51
"2016",2225.00,3215.06,3004.27
"2016",2226.00,1620.64,4422.65
"2016",2227.00,264.34,5743.01
"2016",2228.00,2.91,6273.56
"2016",2229.00,0.00,6746.52
"2016",2230.00,0.00,6520.71
"2016",2231.00,0.00,6051.59
"2016",2232.00,0.00,5325.32
"2016",2233.00,0.00,4838.69
"2016",2234.00,0.00,4519.80
"2016",2235.00,0.00,4321.64
"2016",2236.00,0.00,4217.49
"2016",2237.00,0.00,4139.15
"2016",2238.00,0.21,4287.33
"2016",2239.00,166.60,4420.48
"2016",2240.00,1148.51,3924.28
"2016",2241.00,2752.52,3326.71
"2016",2242.00,3618.85,2805.09
"2016",2243.00,3907.59,2630.63
"2016",2244.00,3956.81,2645.93
"2016",2245.00,3916.12,2191.69
"2016",2246.00,3869.80,2378.10
"2016",2247.00,3729.61,2544.10
"2016",2248.00,3489.37,2719.82
"2016",2249.00,2920.20,3206.96
"2016",2250.00,1496.83,4406.38
"2016",2251.00,259.83,5625.86
"2016",2252.00,3.02,6159.17
"2016",2253.00,0.00,6703.20
"2016",2254.00,0.00,6403.66
"2016",2255.00,0.00,5989.84
"2016",2256.00,0.00,5355.74
"2016",2257.00,0.00,4802.75
"2016",2258.00,0.00,4500.44
"2016",2259.00,0.00,4302.29
"2016",2260.00,0.00,4196.30
"2016",2261.00,0.00,4192.61
"2016",2262.00,0.32,4296.44
"2016",2263.00,171.52,4440.44
"2016",2264.00,1164.32,3855.01
"2016",2265.00,2739.93,3238.85
"2016",2266.00,3595.99,2678.64
"2016",2267.00,3911.58,2506.83
"2016",2268.00,4025.88,2445.06
"2016",2269.00,4049.96,1919.60
"2016",2270.00,4074.38,1897.95
"2016",2271.00,3976.70,2098.85
"2016",2272.00,3745.62,2203.66
"2016",2273.00,3132.36,2665.78
"2016",2274.00,1561.81,4083.33
"2016",2275.00,268.82,5322.87
"2016",2276.00,3.34,5848.25
"2016",2277.00,0.00,6452.51
"2016",2278.00,0.00,6200.90
"2016",2279.00,0.00,5808.27
"2016",2280.00,0.00,5224.86
"2016",2281.00,0.00,4742.84
"2016",2282.00,0.00,4387.08
"2016",2283.00,0.00,4157.59
"2016",2284.00,0.00,4031.32
"2016",2285.00,0.00,3941.92
"2016",2286.00,0.28,4004.31
"2016",2287.00,113.61,3921.40
"2016",2288.00,892.96,3088.60
"2016",2289.00,2372.74,2066.87
"2016",2290.00,3231.57,1581.32
"2016",2291.00,3593.31,1437.08
"2016",2292.00,3688.71,1432.01
"2016",2293.00,3710.39,1339.36
"2016",2294.00,3681.71,1219.65
"2016",2295.00,3615.29,1300.82
"2016",2296.00,3363.62,1425.30
"2016",2297.00,2704.07,1999.13
"2016",2298.00,1327.84,3373.53
"2016",2299.00,237.03,4550.97
"2016",2300.00,3.16,5217.09
"2016",2301.00,0.00,5875.55
"2016",2302.00,0.00,5682.93
"2016",2303.00,0.00,5317.03
"2016",2304.00,0.00,4935.46
"2016",2305.00,0.00,4490.30
"2016",2306.00,0.00,4150.21
"2016",2307.00,0.00,3944.68
"2016",2308.00,0.00,3784.32
"2016",2309.00,0.00,3788.92
"2016",2310.00,0.54,3793.92
"2016",2311.00,170.90,3628.16
"2016",2312.00,1140.33,2695.60
"2016",2313.00,2737.54,1498.39
"2016",2314.00,3614.50,1000.23
"2016",2315.00,3950.58,859.54
"2016",2316.00,4096.51,760.61
"2016",2317.00,4106.97,707.75
"2016",2318.00,4106.34,573.83
"2016",2319.00,3986.24,672.72
"2016",2320.00,3702.60,897.38
"2016",2321.00,3084.70,1429.57
"2016",2322.00,1562.46,2957.34
"2016",2323.00,275.72,4421.96
"2016",2324.00,3.58,5076.59
"2016",2325.00,0.00,5676.47
"2016",2326.00,0.00,5368.64
"2016",2327.00,0.00,5059.89
"2016",2328.00,0.00,4656.20
"2016",2329.00,0.00,4146.53
"2016",2330.00,0.00,3747.45
"2016",2331.00,0.00,3535.47
"2016",2332.00,0.00,3435.01
"2016",2333.00,0.00,3393.53
"2016",2334.00,0.55,3380.08
"2016",2335.00,159.39,3218.48
"2016",2336.00,1119.45,2168.10
"2016",2337.00,2724.39,890.34
"2016",2338.00,3622.88,370.65
"2016",2339.00,4019.01,225.21
"2016",2340.00,4169.33,175.35
"2016",2341.00,4142.84,0.00
