"","","Mid","Mid","South","South","North","North"
"Year","Time","pv","gas","pv","gas","pv","gas"
"2016",89.00,0.00,69349.27,1310.30,5521.01,0.00,15554.26
"2016",90.00,0.00,69207.07,221.93,6740.25,0.00,15250.42
"2016",91.00,0.00,67245.07,6.76,7477.08,0.00,14840.81
"2016",92.00,0.00,63883.16,0.00,7653.43,0.00,14382.42
"2016",93.00,0.00,61902.90,0.00,7631.31,0.00,13741.74
"2016",94.00,0.00,60356.94,0.00,7429.46,0.00,12931.50
"2016",95.00,0.00,55965.98,0.00,7093.98,0.00,12161.03
"2016",96.00,0.00,52349.44,0.00,6722.55,0.00,11617.87
"2016",97.00,0.00,49994.47,0.00,5831.31,0.00,11375.55
"2016",98.00,0.00,48849.17,0.00,5235.92,0.00,11230.01
"2016",99.00,0.00,48658.93,0.00,4870.03,0.00,11271.27
"2016",100.00,0.00,49517.90,0.00,4644.22,0.00,11479.83
"2016",101.00,0.00,51396.31,0.00,4538.23,0.00,12013.24
"2016",102.00,0.00,54729.40,0.00,4461.73,0.00,13224.84
"2016",103.00,0.00,60357.90,0.00,4587.08,0.00,14417.68
"2016",104.00,0.00,63548.79,52.36,4919.97,0.00,14892.57
"2016",105.00,226.27,64487.03,720.63,5029.58,0.00,14938.33
"2016",106.00,1203.13,64932.19,2236.63,4274.86,79.80,15081.35
"2016",107.00,2045.70,65361.75,3284.70,3540.16,157.62,15002.77
"2016",108.00,2578.01,64513.33,3729.97,3179.68,167.48,14792.61
"2016",109.00,2902.21,62529.79,3857.35,3083.64,83.74,14658.04
"2016",110.00,2025.60,61770.12,3815.37,2608.57,27.58,14633.17
"2016",111.00,870.44,62355.51,3548.93,2960.72,1.97,15087.91
"2016",112.00,18.79,64965.47,2777.37,3809.70,0.00,15501.75
"2016",113.00,0.00,67436.28,1296.84,5187.01,0.00,15567.02
"2016",114.00,0.00,66710.86,235.92,6214.74,0.00,15164.90
"2016",115.00,0.00,64135.85,7.47,7060.71,0.00,14637.50
"2016",116.00,0.00,60308.90,0.00,7293.98,0.00,14107.09
"2016",117.00,0.00,58096.12,0.00,7278.31,0.00,13486.66
"2016",118.00,0.00,57226.58,0.00,7022.09,0.00,12981.02
"2016",119.00,0.00,53131.55,0.00,6733.61,0.00,12364.34
"2016",120.00,0.00,49137.42,0.00,6457.12,0.00,11890.95
"2016",121.00,0.00,46492.27,0.00,5739.15,0.00,11525.59
"2016",122.00,0.00,45136.55,0.00,5235.92,0.00,11321.53
"2016",123.00,0.00,44896.35,0.00,4851.59,0.00,11199.25
"2016",124.00,0.00,44957.84,0.00,4611.96,0.00,11228.51
"2016",125.00,0.00,43942.25,0.00,4397.22,0.00,11288.53
"2016",126.00,0.00,42786.38,0.00,4285.70,0.00,11677.89
"2016",127.00,0.00,44975.13,0.00,4264.50,0.00,12136.27
"2016",128.00,0.00,47780.73,58.40,4361.86,0.00,12521.13
"2016",129.00,581.77,50142.92,784.09,3637.09,0.00,12944.26
"2016",130.00,1658.76,51671.68,2292.39,2512.20,28.57,13245.78
"2016",131.00,2508.59,52553.26,3320.38,1947.80,81.77,13400.39
"2016",132.00,2898.41,51727.23,3740.09,1719.80,103.44,13346.46
"2016",133.00,3212.53,49838.31,3898.76,1683.71,104.43,13361.23
"2016",134.00,2169.39,49101.05,3857.18,1630.36,40.39,13492.79
"2016",135.00,879.15,50226.02,3590.65,1692.28,2.96,13936.84
"2016",136.00,25.27,53791.35,2810.56,2509.23,0.00,14560.22
"2016",137.00,0.00,57589.77,1315.02,3920.90,0.00,14609.74
"2016",138.00,0.00,57636.85,232.99,5096.94,0.00,14473.95
"2016",139.00,0.00,55969.82,6.95,6264.00,0.00,14082.34
"2016",140.00,0.00,52467.63,0.00,6619.33,0.00,13560.18
"2016",141.00,0.00,51081.16,0.00,6717.02,0.00,13081.55
"2016",142.00,0.00,50960.10,0.00,6514.26,0.00,12611.16
"2016",143.00,0.00,47358.93,0.00,6244.21,0.00,12139.27
"2016",144.00,0.00,43687.63,0.00,5938.23,0.00,11701.14
"2016",145.00,0.00,41251.95,0.00,5441.45,0.00,11393.56
"2016",146.00,0.00,39806.87,0.00,4899.52,0.00,11233.76
"2016",147.00,0.00,39333.18,0.00,4407.36,0.00,11221.01
"2016",148.00,0.00,39959.64,0.00,4168.65,0.00,11273.52
"2016",149.00,0.00,39248.63,0.00,4034.09,0.00,11367.30
"2016",150.00,0.00,37621.96,0.00,4006.44,0.00,11668.89
"2016",151.00,0.00,39093.94,0.00,3986.16,0.00,12029.74
"2016",152.00,0.00,41658.37,59.84,3983.46,0.00,12377.09
"2016",153.00,510.08,44324.78,771.94,3194.86,0.00,12692.93
"2016",154.00,1939.35,45414.78,2290.70,1798.69,8.87,13194.21
"2016",155.00,3043.20,47571.00,3310.08,1263.17,51.23,13439.94
"2016",156.00,3647.12,46920.00,3732.78,1196.24,75.86,13537.59
"2016",157.00,4355.05,44213.56,3876.23,1276.75,54.18,13516.50
"2016",158.00,2954.81,44277.30,3848.52,1337.63,9.85,13683.12
"2016",159.00,1576.32,45642.34,3578.30,1412.47,0.00,14193.37
"2016",160.00,224.10,49286.12,2803.43,2102.54,0.00,14652.50
"2016",161.00,0.00,55073.38,1280.45,3561.01,0.00,14675.01
"2016",162.00,0.00,56862.43,222.47,4706.54,0.00,14573.73
"2016",163.00,0.00,55884.31,7.34,5743.79,0.00,14351.66
"2016",164.00,0.00,53717.66,0.00,6156.66,0.00,14026.82
"2016",165.00,0.00,52928.82,0.00,6268.18,0.00,13468.66
"2016",166.00,0.00,53571.61,0.00,6319.79,0.00,12854.98
"2016",167.00,0.00,49761.95,0.00,6080.16,0.00,12205.29
"2016",168.00,0.00,46035.88,0.00,5655.28,0.00,11739.41
"2016",169.00,0.00,44174.77,0.00,5104.13,0.00,11492.58
