"","","Mid","Mid","Mid","Mid","South","South","South","South","North","North","North","North"
"Year","Time","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2","pv","gas","pmp_hydro","pmp_hydro2"
"2016",52.00,0.00,47392.56,0.00,0.00,0.00,4384.31,0.00,0.00,0.00,12152.78,0.00,0.00
"2016",53.00,0.00,49123.96,0.00,0.00,0.00,4327.17,0.00,0.00,0.00,12638.92,0.00,0.00
"2016",54.00,0.00,52818.33,0.00,0.00,0.00,4314.27,0.00,0.00,0.00,13928.54,0.00,0.00
"2016",55.00,0.00,58345.94,0.00,0.00,0.00,4415.65,0.00,0.00,0.00,15125.89,0.00,0.00
"2016",56.00,0.00,61551.24,0.00,0.00,58.12,4740.02,0.00,0.00,0.00,15522.00,0.00,0.00
"2016",57.00,580.65,62164.89,0.00,0.00,782.57,4794.36,0.00,0.00,0.00,15574.52,0.00,0.00
"2016",58.00,2137.20,61882.40,0.00,0.00,2324.75,4065.09,0.00,0.00,49.26,15619.79,0.00,0.00
"2016",59.00,3137.27,62271.67,0.00,0.00,3345.73,3402.63,0.00,0.00,90.63,15553.66,0.00,0.00
"2016",60.00,3517.55,61644.46,0.00,0.00,3753.84,3100.51,0.00,0.00,96.54,15411.20,0.00,0.00
"2016",61.00,4699.48,59852.41,0.00,0.00,3895.25,2941.59,0.00,0.00,75.86,15399.63,0.00,0.00
"2016",62.00,3424.87,60331.46,0.00,0.00,3854.60,2547.22,0.00,0.00,26.60,15576.43,0.00,0.00
"2016",63.00,1612.65,61535.47,0.00,0.00,3594.89,2945.17,0.00,0.00,0.99,16152.70,0.00,0.00
"2016",64.00,333.16,64581.92,0.00,0.00,2813.47,3893.41,0.00,0.00,0.00,16501.04,0.00,0.00
"2016",65.00,0.00,67994.51,0.00,0.00,1299.12,5374.59,0.00,0.00,0.00,16492.79,0.00,0.00
"2016",66.00,0.00,67590.01,0.00,0.00,209.31,6518.78,0.00,0.00,0.00,16190.45,0.00,0.00
"2016",67.00,0.00,65815.37,0.00,0.00,5.89,7395.93,0.00,0.00,0.00,15807.09,0.00,0.00
"2016",68.00,0.00,62664.83,0.00,0.00,0.00,7603.66,0.00,0.00,0.00,15248.17,0.00,0.00
"2016",69.00,0.00,60686.50,0.00,0.00,0.00,7593.52,0.00,0.00,0.00,14557.97,0.00,0.00
"2016",70.00,0.00,59676.68,0.00,0.00,0.00,7383.38,0.00,0.00,0.00,13774.00,0.00,0.00
"2016",71.00,0.00,55204.05,0.00,0.00,0.00,7034.07,0.00,0.00,0.00,12954.01,0.00,0.00
"2016",72.00,0.00,50770.81,0.00,0.00,0.00,6634.07,0.00,0.00,0.00,12353.08,0.00,0.00
